DateTime,Open,High,Low,Close,Volume
2020-08-09 21:00:00+00:00,1.17934,1.17934,1.17900,1.17900,6
2020-08-09 21:01:00+00:00,1.17894,1.17894,1.17894,1.17894,1
2020-08-09 21:02:00+00:00,1.17894,1.17902,1.17894,1.17898,5
2020-08-09 21:03:00+00:00,1.17902,1.17902,1.17888,1.17888,3
2020-08-09 21:04:00+00:00,1.17893,1.17902,1.17888,1.17899,5
2020-08-09 21:05:00+00:00,1.17894,1.17894,1.17894,1.17894,1
2020-08-09 21:06:00+00:00,1.17898,1.17898,1.17898,1.17898,1
2020-08-09 21:10:00+00:00,1.17894,1.17894,1.17880,1.17880,4
2020-08-09 21:12:00+00:00,1.17887,1.17891,1.17887,1.17891,2
2020-08-09 21:15:00+00:00,1.17887,1.17887,1.17887,1.17887,1
2020-08-09 21:16:00+00:00,1.17882,1.17882,1.17882,1.17882,1
2020-08-09 21:22:00+00:00,1.17888,1.17897,1.17888,1.17897,3
2020-08-09 21:23:00+00:00,1.17890,1.17899,1.17873,1.17873,10
2020-08-09 21:24:00+00:00,1.17868,1.17868,1.17868,1.17868,1
2020-08-09 21:26:00+00:00,1.17873,1.17873,1.17873,1.17873,1
2020-08-09 21:40:00+00:00,1.17877,1.17877,1.17877,1.17877,1
2020-08-09 21:47:00+00:00,1.17872,1.17872,1.17872,1.17872,1
2020-08-09 21:49:00+00:00,1.17868,1.17868,1.17862,1.17862,2
2020-08-09 21:50:00+00:00,1.17848,1.17860,1.17844,1.17860,5
2020-08-09 21:51:00+00:00,1.17864,1.17864,1.17864,1.17864,1
2020-08-09 21:57:00+00:00,1.17860,1.17860,1.17860,1.17860,1
2020-08-09 22:00:00+00:00,1.17864,1.17886,1.17864,1.17880,22
2020-08-09 22:01:00+00:00,1.17882,1.17882,1.17860,1.17864,32
2020-08-09 22:02:00+00:00,1.17866,1.17876,1.17866,1.17876,10
2020-08-09 22:03:00+00:00,1.17874,1.17875,1.17868,1.17868,15
2020-08-09 22:04:00+00:00,1.17869,1.17873,1.17868,1.17870,11
2020-08-09 22:05:00+00:00,1.17868,1.17871,1.17866,1.17866,10
2020-08-09 22:06:00+00:00,1.17868,1.17872,1.17866,1.17870,11
2020-08-09 22:07:00+00:00,1.17872,1.17879,1.17872,1.17874,13
2020-08-09 22:08:00+00:00,1.17872,1.17872,1.17872,1.17872,1
2020-08-09 22:09:00+00:00,1.17874,1.17874,1.17864,1.17866,8
2020-08-09 22:10:00+00:00,1.17864,1.17866,1.17864,1.17866,4
2020-08-09 22:11:00+00:00,1.17868,1.17868,1.17868,1.17868,1
2020-08-09 22:12:00+00:00,1.17870,1.17870,1.17864,1.17864,4
2020-08-09 22:13:00+00:00,1.17866,1.17880,1.17866,1.17867,17
2020-08-09 22:14:00+00:00,1.17868,1.17876,1.17858,1.17874,38
2020-08-09 22:15:00+00:00,1.17876,1.17888,1.17876,1.17882,17
2020-08-09 22:16:00+00:00,1.17880,1.17885,1.17880,1.17885,4
2020-08-09 22:17:00+00:00,1.17886,1.17888,1.17884,1.17886,5
2020-08-09 22:18:00+00:00,1.17888,1.17888,1.17860,1.17860,15
2020-08-09 22:19:00+00:00,1.17862,1.17864,1.17845,1.17845,14
2020-08-09 22:20:00+00:00,1.17846,1.17850,1.17845,1.17848,12
2020-08-09 22:21:00+00:00,1.17846,1.17846,1.17832,1.17832,11
2020-08-09 22:22:00+00:00,1.17834,1.17837,1.17819,1.17820,17
2020-08-09 22:23:00+00:00,1.17822,1.17822,1.17768,1.17778,59
2020-08-09 22:24:00+00:00,1.17780,1.17782,1.17740,1.17757,69
2020-08-09 22:25:00+00:00,1.17754,1.17767,1.17752,1.17753,25
2020-08-09 22:26:00+00:00,1.17754,1.17756,1.17748,1.17748,25
2020-08-09 22:27:00+00:00,1.17746,1.17749,1.17737,1.17738,19
2020-08-09 22:28:00+00:00,1.17739,1.17758,1.17738,1.17753,27
2020-08-09 22:29:00+00:00,1.17754,1.17760,1.17750,1.17750,12
2020-08-09 22:30:00+00:00,1.17748,1.17784,1.17744,1.17784,45
2020-08-09 22:31:00+00:00,1.17783,1.17788,1.17775,1.17788,24
2020-08-09 22:32:00+00:00,1.17790,1.17802,1.17790,1.17802,26
2020-08-09 22:33:00+00:00,1.17800,1.17810,1.17798,1.17808,19
2020-08-09 22:34:00+00:00,1.17806,1.17806,1.17794,1.17802,12
2020-08-09 22:35:00+00:00,1.17804,1.17812,1.17792,1.17792,18
2020-08-09 22:36:00+00:00,1.17793,1.17811,1.17793,1.17802,20
2020-08-09 22:37:00+00:00,1.17804,1.17812,1.17803,1.17806,18
2020-08-09 22:38:00+00:00,1.17804,1.17808,1.17794,1.17800,19
2020-08-09 22:39:00+00:00,1.17799,1.17799,1.17792,1.17796,7
2020-08-09 22:40:00+00:00,1.17798,1.17811,1.17794,1.17809,21
2020-08-09 22:41:00+00:00,1.17808,1.17823,1.17808,1.17818,23
2020-08-09 22:42:00+00:00,1.17819,1.17823,1.17818,1.17818,16
2020-08-09 22:43:00+00:00,1.17816,1.17820,1.17812,1.17820,11
2020-08-09 22:44:00+00:00,1.17818,1.17818,1.17800,1.17802,12
2020-08-09 22:45:00+00:00,1.17804,1.17814,1.17804,1.17808,18
2020-08-09 22:46:00+00:00,1.17810,1.17814,1.17796,1.17800,20
2020-08-09 22:47:00+00:00,1.17802,1.17804,1.17788,1.17790,14
2020-08-09 22:48:00+00:00,1.17791,1.17791,1.17776,1.17778,17
2020-08-09 22:49:00+00:00,1.17779,1.17792,1.17779,1.17792,15
2020-08-09 22:50:00+00:00,1.17790,1.17794,1.17783,1.17783,10
2020-08-09 22:51:00+00:00,1.17784,1.17784,1.17775,1.17775,17
2020-08-09 22:52:00+00:00,1.17776,1.17783,1.17776,1.17783,8
2020-08-09 22:53:00+00:00,1.17784,1.17791,1.17780,1.17780,12
2020-08-09 22:54:00+00:00,1.17782,1.17784,1.17782,1.17784,4
2020-08-09 22:55:00+00:00,1.17782,1.17798,1.17780,1.17788,20
2020-08-09 22:56:00+00:00,1.17786,1.17786,1.17775,1.17778,13
2020-08-09 22:57:00+00:00,1.17776,1.17776,1.17772,1.17774,10
2020-08-09 22:58:00+00:00,1.17772,1.17776,1.17762,1.17764,18
2020-08-09 22:59:00+00:00,1.17763,1.17767,1.17759,1.17762,22
2020-08-09 23:00:00+00:00,1.17764,1.17794,1.17764,1.17791,37
2020-08-09 23:01:00+00:00,1.17793,1.17808,1.17792,1.17804,27
2020-08-09 23:02:00+00:00,1.17806,1.17807,1.17795,1.17795,9
2020-08-09 23:03:00+00:00,1.17797,1.17807,1.17797,1.17807,15
2020-08-09 23:04:00+00:00,1.17809,1.17809,1.17802,1.17804,6
2020-08-09 23:05:00+00:00,1.17806,1.17821,1.17804,1.17804,34
2020-08-09 23:06:00+00:00,1.17806,1.17812,1.17803,1.17810,12
2020-08-09 23:07:00+00:00,1.17812,1.17813,1.17808,1.17812,20
2020-08-09 23:08:00+00:00,1.17814,1.17819,1.17806,1.17819,18
2020-08-09 23:09:00+00:00,1.17820,1.17832,1.17820,1.17828,23
2020-08-09 23:10:00+00:00,1.17830,1.17830,1.17814,1.17814,29
2020-08-09 23:11:00+00:00,1.17812,1.17823,1.17812,1.17820,13
2020-08-09 23:12:00+00:00,1.17821,1.17830,1.17821,1.17824,11
2020-08-09 23:13:00+00:00,1.17822,1.17824,1.17817,1.17818,13
2020-08-09 23:14:00+00:00,1.17816,1.17818,1.17807,1.17810,21
2020-08-09 23:15:00+00:00,1.17812,1.17818,1.17810,1.17813,15
2020-08-09 23:16:00+00:00,1.17811,1.17812,1.17799,1.17807,20
2020-08-09 23:17:00+00:00,1.17808,1.17812,1.17806,1.17806,11
2020-08-09 23:18:00+00:00,1.17808,1.17816,1.17808,1.17809,14
2020-08-09 23:19:00+00:00,1.17810,1.17811,1.17809,1.17811,5
2020-08-09 23:20:00+00:00,1.17809,1.17810,1.17794,1.17794,20
2020-08-09 23:21:00+00:00,1.17792,1.17804,1.17792,1.17804,30
2020-08-09 23:22:00+00:00,1.17802,1.17802,1.17795,1.17795,11
2020-08-09 23:23:00+00:00,1.17797,1.17805,1.17795,1.17805,10
2020-08-09 23:24:00+00:00,1.17803,1.17807,1.17802,1.17806,6
2020-08-09 23:25:00+00:00,1.17804,1.17810,1.17801,1.17806,15
2020-08-09 23:26:00+00:00,1.17807,1.17812,1.17806,1.17810,9
2020-08-09 23:27:00+00:00,1.17812,1.17812,1.17805,1.17807,8
2020-08-09 23:28:00+00:00,1.17809,1.17809,1.17801,1.17801,8
2020-08-09 23:29:00+00:00,1.17803,1.17806,1.17790,1.17794,23
2020-08-09 23:30:00+00:00,1.17792,1.17803,1.17788,1.17796,22
2020-08-09 23:31:00+00:00,1.17794,1.17794,1.17790,1.17790,16
2020-08-09 23:32:00+00:00,1.17792,1.17804,1.17792,1.17804,14
2020-08-09 23:33:00+00:00,1.17805,1.17815,1.17805,1.17811,24
2020-08-09 23:34:00+00:00,1.17809,1.17820,1.17806,1.17818,23
2020-08-09 23:35:00+00:00,1.17816,1.17822,1.17814,1.17818,8
2020-08-09 23:36:00+00:00,1.17816,1.17822,1.17816,1.17822,9
2020-08-09 23:37:00+00:00,1.17824,1.17824,1.17818,1.17822,6
2020-08-09 23:38:00+00:00,1.17824,1.17826,1.17820,1.17821,8
2020-08-09 23:39:00+00:00,1.17822,1.17826,1.17820,1.17826,11
2020-08-09 23:40:00+00:00,1.17824,1.17835,1.17822,1.17822,17
2020-08-09 23:41:00+00:00,1.17821,1.17822,1.17816,1.17818,7
2020-08-09 23:42:00+00:00,1.17816,1.17818,1.17816,1.17818,6
2020-08-09 23:43:00+00:00,1.17819,1.17823,1.17812,1.17823,33
2020-08-09 23:44:00+00:00,1.17825,1.17825,1.17817,1.17817,13
2020-08-09 23:45:00+00:00,1.17819,1.17819,1.17812,1.17812,18
2020-08-09 23:46:00+00:00,1.17813,1.17827,1.17812,1.17817,33
2020-08-09 23:47:00+00:00,1.17818,1.17822,1.17817,1.17822,14
2020-08-09 23:48:00+00:00,1.17821,1.17822,1.17812,1.17818,18
2020-08-09 23:49:00+00:00,1.17820,1.17825,1.17818,1.17822,11
2020-08-09 23:50:00+00:00,1.17821,1.17822,1.17818,1.17818,6
2020-08-09 23:51:00+00:00,1.17820,1.17822,1.17816,1.17816,6
2020-08-09 23:52:00+00:00,1.17817,1.17818,1.17811,1.17811,9
2020-08-09 23:53:00+00:00,1.17813,1.17814,1.17813,1.17813,3
2020-08-09 23:54:00+00:00,1.17815,1.17822,1.17815,1.17822,5
2020-08-09 23:55:00+00:00,1.17820,1.17824,1.17820,1.17824,5
2020-08-09 23:56:00+00:00,1.17822,1.17826,1.17820,1.17826,7
2020-08-09 23:57:00+00:00,1.17828,1.17829,1.17824,1.17824,5
2020-08-09 23:58:00+00:00,1.17822,1.17822,1.17816,1.17818,8
2020-08-09 23:59:00+00:00,1.17816,1.17818,1.17812,1.17812,5
2020-08-10 00:00:00+00:00,1.17814,1.17822,1.17814,1.17820,21
2020-08-10 00:01:00+00:00,1.17821,1.17840,1.17821,1.17836,31
2020-08-10 00:02:00+00:00,1.17834,1.17834,1.17825,1.17828,25
2020-08-10 00:03:00+00:00,1.17827,1.17833,1.17827,1.17833,12
2020-08-10 00:04:00+00:00,1.17834,1.17852,1.17834,1.17847,50
